respondent_id,persona,age_group,gender,city_tier,education_level,employment_status,shopping_frequency,platform_1,platform_2,platform_3,primary_device,browse_time_before_purchase,cart_abandonment_freq,cart_abandon_reason,cat_fashion,cat_electronics,cat_grocery,cat_beauty,cat_home,cat_books,cat_sports,cat_toys,review_importance_score,discovery_channel,recommendation_acceptance_score,monthly_income_bracket,monthly_spend_bracket,max_single_transaction_value,discount_sensitivity_score,impulse_discount_threshold,preferred_payment_method,loyalty_member,loyalty_member_flag,delivery_importance_score,return_frequency,social_purchase_influence_freq,social_commerce_adoption,repeat_purchase_intent_score,platform_switching_propensity,review_writing_freq,festive_spend_proportion,impulse_trigger_type,ai_personalisation_comfort,will_purchase
1011,urban_professional,35-44,Female,Metro (Tier 1),Undergraduate,Self-employed,Monthly,Flipkart,Meesho,,Smartphone,Under 10 minutes,Often,Found better deal elsewhere,1,0,0,0,0,1,0,0,5,Search engine,5,100000-200000,Above 15000,22440.87,2,21-40pct,Debit card,No but considering,0,3,Occasionally,Rarely,No not interested,3,3,Rarely,10-25pct,Gifting occasion,5,1
1012,value_seeker,25-34,Male,Tier 3 city,Postgraduate,Self-employed,Occasionally,Myntra,Meesho,,Smartphone,More than 1 hour,Often,High price / no discount,0,0,1,0,1,0,0,0,5,Search engine,1,50000-100000,500-2000,9792.64,2,10-20pct,UPI,No not interested,0,5,Rarely,Sometimes,No but open to it,2,4,Rarely,26-50pct,Influencer post,3,1
1013,value_seeker,35-44,Male,Tier 3 city,High school or below,Self-employed,Monthly,Meesho,Amazon,Myntra,Smartphone,30-60 minutes,Often,Found better deal elsewhere,1,0,1,1,1,0,0,0,5,Friends / family,3,20000-50000,2000-5000,1115.77,5,Discounts dont trigger,UPI,No not interested,0,5,Occasionally,Sometimes,Yes occasionally,2,5,Rarely,26-50pct,Recommendation email,3,0
1014,urban_professional,25-34,Female,Tier 3 city,Undergraduate,Salaried (private),Weekly,Myntra,Meesho,Brand website,Smartphone,30-60 minutes,Rarely,Just browsing,1,1,0,0,0,0,1,0,5,Search engine,1,20000-50000,500-2000,2926.74,3,41-60pct,Credit card,No not interested,0,2,Never,Rarely,Yes occasionally,4,4,Rarely,10-25pct,Gifting occasion,4,1
1015,urban_professional,35-44,Male,Metro (Tier 1),Undergraduate,Salaried (private),Daily or almost daily,Amazon,Flipkart,Meesho,Smartphone,10-30 minutes,Often,Just browsing,0,1,0,1,0,0,1,0,3,Friends / family,4,Above 200000,5000-15000,26002.81,3,Discounts dont trigger,Credit card,Yes - multiple programmes,1,5,Rarely,Sometimes,Yes occasionally,4,3,Occasionally,10-25pct,Gifting occasion,3,1
1016,urban_professional,25-34,Male,Tier 2 city,Postgraduate,Salaried (private),Monthly,Nykaa,Amazon,Flipkart,Laptop / desktop,10-30 minutes,Rarely,N/A - I rarely abandon,1,0,0,1,1,0,1,0,5,Friends / family,5,100000-200000,5000-15000,10724.09,2,Above 60pct,Debit card,Yes - multiple programmes,1,3,Occasionally,Often,Yes occasionally,4,2,Rarely,26-50pct,Boredom,3,1
1017,budget_student,18-24,Male,Tier 3 city,Undergraduate,Student,Monthly,Meesho,Flipkart,Nykaa,Smartphone,More than 1 hour,Rarely,High price / no discount,1,0,0,1,0,1,1,0,5,Friends / family,5,20000-50000,2000-5000,2213.07,4,10-20pct,Buy now pay later,No not interested,0,5,Never,Often,Yes regularly,2,2,Frequently,10-25pct,Flash sale notification,3,1
1018,urban_professional,25-34,Female,Tier 2 city,Postgraduate,Salaried (private),Monthly,Amazon,Meesho,Flipkart,Laptop / desktop,Under 10 minutes,Sometimes,Just browsing,0,0,0,0,1,1,0,1,3,Platform recommendations,5,50000-100000,500-2000,6652.03,3,21-40pct,Credit card,Yes - multiple programmes,1,4,Rarely,Never,Yes occasionally,5,2,Frequently,26-50pct,Gifting occasion,4,1
1019,homemaker,25-34,Female,Tier 3 city,Undergraduate,Salaried (govt.),Monthly,Flipkart,Nykaa,Myntra,Tablet,Under 10 minutes,Sometimes,High price / no discount,0,0,1,0,1,0,0,0,1,Influencer reviews,4,20000-50000,2000-5000,6061.66,4,10-20pct,UPI,Yes - one programme,1,2,Rarely,Rarely,No but open to it,4,2,Never,10-25pct,Boredom,2,0
1020,premium_loyalist,45-54,Male,Metro (Tier 1),Doctoral,Salaried (govt.),Weekly,Ajio,Amazon,,Laptop / desktop,10-30 minutes,Rarely,Just browsing,1,1,0,0,1,0,1,0,2,Search engine,3,Above 200000,Above 15000,39411.5,2,Above 60pct,Debit card,Yes - multiple programmes,1,5,Rarely,Sometimes,Yes occasionally,5,1,Occasionally,10-25pct,Gifting occasion,4,0
1021,budget_student,18-24,Female,Tier 2 city,Undergraduate,Student,Monthly,Flipkart,Amazon,,Laptop / desktop,10-30 minutes,Sometimes,High price / no discount,0,1,1,0,1,1,1,1,3,Social media ads,5,20000-50000,500-2000,1366.97,4,10-20pct,Net banking,No but considering,0,5,Rarely,Almost always,Yes occasionally,3,3,Frequently,Less than 10pct,Flash sale notification,4,0
1022,homemaker,25-34,Female,Tier 2 city,Undergraduate,Homemaker,Monthly,Nykaa,Amazon,Meesho,Smartphone,More than 1 hour,Rarely,Just browsing,0,0,1,1,1,0,0,1,5,Friends / family,4,50000-100000,5000-15000,5385.95,3,21-40pct,Cash on delivery,No not interested,0,5,Occasionally,Rarely,No not interested,3,4,Rarely,Less than 10pct,Flash sale notification,2,1
1023,premium_loyalist,35-44,Male,Metro (Tier 1),Undergraduate,Salaried (private),Weekly,Nykaa,Myntra,Ajio,Smartphone,10-30 minutes,Never,Just browsing,0,1,0,0,0,0,1,0,4,Social media ads,4,Above 200000,5000-15000,78307.11,4,Discounts dont trigger,Credit card,Yes - one programme,1,5,Occasionally,Rarely,Yes occasionally,5,2,Occasionally,Less than 10pct,Recommendation email,5,1
1024,value_seeker,35-44,Male,Tier 2 city,Doctoral,Salaried (private),Daily or almost daily,Myntra,Amazon,Flipkart,Smartphone,30-60 minutes,Sometimes,High price / no discount,0,1,0,0,1,0,0,0,4,Platform recommendations,4,20000-50000,Under 500,1922.04,3,21-40pct,UPI,No not interested,0,4,Occasionally,Often,Yes occasionally,2,3,Rarely,Less than 10pct,Flash sale notification,2,1
1025,premium_loyalist,55+,Male,Metro (Tier 1),Postgraduate,Salaried (private),Weekly,Myntra,Flipkart,Other,Laptop / desktop,10-30 minutes,Rarely,High delivery charges,1,1,1,0,1,0,0,0,4,Search engine,3,Above 200000,5000-15000,25184.48,2,Above 60pct,Net banking,Yes - one programme,1,4,Frequently,Sometimes,No not interested,3,3,Occasionally,Less than 10pct,Gifting occasion,4,1
1026,urban_professional,25-34,Female,Rural / town,Undergraduate,Salaried (govt.),Weekly,Myntra,Brand website,,Laptop / desktop,10-30 minutes,Sometimes,N/A - I rarely abandon,1,0,0,0,0,0,1,0,4,Search engine,5,50000-100000,2000-5000,1175.14,4,10-20pct,Credit card,Yes - multiple programmes,1,5,Frequently,Rarely,No not interested,5,2,Occasionally,Less than 10pct,Festive sale,4,0
1027,value_seeker,45-54,Female,Rural / town,Postgraduate,Salaried (private),Occasionally,Meesho,Flipkart,Amazon,Smartphone,30-60 minutes,Sometimes,Just browsing,1,1,0,0,1,0,1,0,3,Search engine,4,20000-50000,500-2000,2922.24,4,41-60pct,Debit card,No not interested,0,4,Rarely,Rarely,No but open to it,3,4,Rarely,26-50pct,Festive sale,2,0
1028,budget_student,18-24,Female,Metro (Tier 1),Undergraduate,Student,Weekly,Nykaa,Meesho,Myntra,Smartphone,30-60 minutes,Sometimes,High delivery charges,1,1,0,1,0,1,1,0,2,Social media ads,4,Below 20000,Under 500,1155.21,3,Above 60pct,UPI,No not interested,0,5,Never,Often,No but open to it,2,4,Frequently,10-25pct,Flash sale notification,3,0
1029,budget_student,18-24,Male,Metro (Tier 1),Undergraduate,Salaried (private),Weekly,Meesho,Amazon,Flipkart,Smartphone,10-30 minutes,Rarely,Just browsing,0,1,1,0,0,1,0,0,5,Friends / family,2,20000-50000,2000-5000,1367.2,4,21-40pct,UPI,No not interested,0,5,Rarely,Often,Yes occasionally,3,4,Occasionally,26-50pct,Flash sale notification,4,0
1030,urban_professional,25-34,Female,Metro (Tier 1),Postgraduate,Salaried (private),Daily or almost daily,Amazon,Flipkart,Myntra,Smartphone,30-60 minutes,Never,Just browsing,1,1,1,0,0,1,1,0,1,Social media ads,5,100000-200000,5000-15000,7360.42,2,21-40pct,UPI,Yes - one programme,1,5,Rarely,Never,Yes occasionally,5,1,Occasionally,10-25pct,Flash sale notification,4,1
1031,budget_student,18-24,Female,Tier 2 city,Undergraduate,Student,Monthly,Nykaa,Meesho,Myntra,Smartphone,10-30 minutes,Rarely,High price / no discount,0,0,0,0,0,1,0,0,5,Social media ads,4,20000-50000,2000-5000,904.07,4,Discounts dont trigger,UPI,No not interested,0,5,Rarely,Rarely,No but open to it,2,5,Occasionally,10-25pct,Flash sale notification,3,0
1032,budget_student,25-34,Female,Metro (Tier 1),Undergraduate,Student,Monthly,Flipkart,Amazon,Brand website,Smartphone,30-60 minutes,Often,High price / no discount,1,0,1,0,0,1,1,0,3,Platform recommendations,5,100000-200000,2000-5000,15622.96,1,41-60pct,UPI,No not interested,0,4,Rarely,Almost always,Yes occasionally,3,3,Frequently,Less than 10pct,Festive sale,2,1
1033,urban_professional,18-24,Female,Tier 2 city,Undergraduate,Salaried (private),Weekly,Brand website,Flipkart,Ajio,Smartphone,Under 10 minutes,Rarely,Payment issues,0,0,0,0,0,0,1,0,5,Platform recommendations,5,50000-100000,5000-15000,3433.99,3,21-40pct,UPI,Yes - multiple programmes,1,5,Never,Rarely,Yes occasionally,3,1,Frequently,More than 50pct,Recommendation email,3,1
1034,budget_student,18-24,Female,Metro (Tier 1),Undergraduate,Student,Occasionally,Ajio,Amazon,,Smartphone,Under 10 minutes,Rarely,Found better deal elsewhere,1,0,0,0,0,1,0,0,4,Influencer reviews,5,50000-100000,500-2000,7739.81,4,41-60pct,Debit card,No but considering,0,4,Rarely,Often,Yes regularly,3,2,Rarely,More than 50pct,Flash sale notification,4,1
1035,value_seeker,45-54,Male,Tier 3 city,Postgraduate,Salaried (govt.),Monthly,Myntra,Flipkart,,Laptop / desktop,30-60 minutes,Sometimes,High delivery charges,0,1,1,0,1,1,1,0,5,Platform recommendations,3,20000-50000,2000-5000,3531.77,5,21-40pct,Debit card,No but considering,0,3,Occasionally,Often,Yes occasionally,3,3,Occasionally,More than 50pct,Boredom,2,0
1036,urban_professional,18-24,Male,Tier 2 city,Undergraduate,Salaried (govt.),Weekly,Brand website,Amazon,,Laptop / desktop,30-60 minutes,Never,Just browsing,1,1,0,0,0,0,1,0,4,Search engine,5,50000-100000,5000-15000,1726.66,4,Discounts dont trigger,UPI,No but considering,0,5,Rarely,Sometimes,Yes occasionally,3,5,Occasionally,More than 50pct,Festive sale,1,0
1037,homemaker,25-34,Female,Tier 3 city,Postgraduate,Salaried (govt.),Monthly,Myntra,Meesho,Flipkart,Smartphone,10-30 minutes,Rarely,N/A - I rarely abandon,0,0,1,0,0,0,0,1,5,Friends / family,1,20000-50000,2000-5000,3521.24,4,41-60pct,UPI,No not interested,0,2,Occasionally,Sometimes,Yes occasionally,4,2,Rarely,26-50pct,Flash sale notification,2,0
1038,value_seeker,25-34,Male,Tier 2 city,Postgraduate,Self-employed,Monthly,Meesho,Amazon,Flipkart,Smartphone,10-30 minutes,Sometimes,High delivery charges,0,1,1,1,0,1,0,0,5,Friends / family,3,20000-50000,2000-5000,706.95,4,21-40pct,Net banking,No not interested,0,5,Never,Sometimes,Yes occasionally,4,5,Occasionally,10-25pct,Flash sale notification,2,0
1039,value_seeker,35-44,Male,Tier 3 city,Undergraduate,Self-employed,Monthly,Myntra,Flipkart,,Smartphone,30-60 minutes,Often,High price / no discount,0,1,0,0,1,1,0,0,5,Friends / family,5,20000-50000,Under 500,1462.7,4,21-40pct,Buy now pay later,Yes - one programme,1,1,Rarely,Rarely,No but open to it,2,3,Rarely,26-50pct,Boredom,2,0
1040,urban_professional,25-34,Male,Tier 2 city,Undergraduate,Salaried (private),Daily or almost daily,Meesho,Amazon,,Smartphone,Under 10 minutes,Rarely,Found better deal elsewhere,0,1,1,0,0,0,0,0,4,Platform recommendations,4,100000-200000,Above 15000,11525.12,2,21-40pct,Net banking,Yes - multiple programmes,1,4,Rarely,Sometimes,No not interested,4,3,Occasionally,26-50pct,Flash sale notification,5,1
1041,urban_professional,25-34,Male,Metro (Tier 1),Doctoral,Salaried (private),Weekly,Amazon,Flipkart,Meesho,Smartphone,10-30 minutes,Often,High price / no discount,0,1,0,1,1,1,1,0,4,Email / app notifications,5,100000-200000,Above 15000,11415.55,3,21-40pct,UPI,No but considering,0,3,Occasionally,Often,Yes occasionally,5,4,Occasionally,10-25pct,Flash sale notification,4,0
1042,premium_loyalist,25-34,Female,Metro (Tier 1),Postgraduate,Self-employed,Daily or almost daily,Amazon,Flipkart,,Smartphone,10-30 minutes,Rarely,Just browsing,1,1,0,0,1,0,1,0,4,Social media ads,5,Above 200000,Above 15000,19917.91,1,21-40pct,Credit card,Yes - multiple programmes,1,4,Never,Rarely,Yes occasionally,4,3,Occasionally,10-25pct,Gifting occasion,5,1
1043,urban_professional,35-44,Male,Metro (Tier 1),Undergraduate,Salaried (govt.),Weekly,Flipkart,Amazon,,Smartphone,Under 10 minutes,Sometimes,High delivery charges,1,0,1,0,1,1,0,1,4,Friends / family,5,100000-200000,2000-5000,19999.84,3,41-60pct,Debit card,No but considering,0,3,Never,Rarely,Yes occasionally,5,4,Occasionally,10-25pct,Festive sale,5,1
1044,urban_professional,25-34,Male,Metro (Tier 1),Postgraduate,Salaried (private),Weekly,Ajio,Flipkart,Other,Smartphone,More than 1 hour,Rarely,N/A - I rarely abandon,1,1,1,0,0,0,1,0,2,Social media ads,5,50000-100000,2000-5000,2464.04,3,Discounts dont trigger,Credit card,No but considering,0,4,Never,Often,Yes occasionally,5,4,Frequently,10-25pct,Festive sale,5,1
1045,homemaker,35-44,Female,Metro (Tier 1),High school or below,Homemaker,Monthly,Ajio,Meesho,Myntra,Laptop / desktop,30-60 minutes,Sometimes,High price / no discount,1,0,1,1,1,1,1,1,5,Friends / family,2,Below 20000,Under 500,607.18,4,10-20pct,Cash on delivery,No but considering,0,4,Occasionally,Often,No but open to it,3,2,Frequently,26-50pct,Festive sale,3,1
1046,budget_student,18-24,Female,Tier 2 city,Postgraduate,Student,Weekly,Meesho,Amazon,,Smartphone,More than 1 hour,Often,Just browsing,0,0,1,1,0,0,0,0,3,Search engine,5,20000-50000,500-2000,2375.98,5,21-40pct,Cash on delivery,No not interested,0,4,Never,Sometimes,Yes regularly,2,3,Frequently,26-50pct,Flash sale notification,3,0
1047,urban_professional,25-34,Male,Tier 2 city,Postgraduate,Salaried (private),Occasionally,Ajio,Myntra,Flipkart,Laptop / desktop,10-30 minutes,Rarely,N/A - I rarely abandon,0,1,0,0,1,0,0,0,4,Friends / family,3,Above 200000,Above 15000,67181.4,2,41-60pct,Debit card,Yes - one programme,1,4,Occasionally,Sometimes,Yes occasionally,5,2,Occasionally,26-50pct,Flash sale notification,4,1
1048,budget_student,18-24,Female,Tier 2 city,Undergraduate,Student,Occasionally,Amazon,Meesho,Myntra,Laptop / desktop,30-60 minutes,Almost always,High delivery charges,1,1,1,0,0,0,0,0,4,Platform recommendations,1,20000-50000,500-2000,1030.62,4,10-20pct,Debit card,No not interested,0,4,Frequently,Often,Yes occasionally,3,4,Rarely,10-25pct,Festive sale,3,0
1049,urban_professional,25-34,Female,Tier 3 city,Postgraduate,Salaried (private),Monthly,Flipkart,Myntra,Brand website,Smartphone,30-60 minutes,Rarely,High delivery charges,1,1,0,1,1,0,0,0,3,Platform recommendations,3,50000-100000,500-2000,3401.73,3,10-20pct,UPI,Yes - multiple programmes,1,2,Rarely,Often,Yes regularly,5,2,Rarely,Less than 10pct,Influencer post,5,1
1050,homemaker,25-34,Female,Tier 2 city,High school or below,Homemaker,Occasionally,Flipkart,Amazon,Meesho,Smartphone,10-30 minutes,Sometimes,Just browsing,1,0,1,0,1,0,0,0,5,Friends / family,2,20000-50000,Under 500,677.07,2,Above 60pct,UPI,No not interested,0,4,Rarely,Sometimes,No but open to it,2,3,Frequently,10-25pct,Influencer post,2,0
1051,homemaker,35-44,Female,Metro (Tier 1),Undergraduate,Homemaker,Monthly,Amazon,Myntra,,Smartphone,30-60 minutes,Rarely,Payment issues,0,0,1,1,0,0,1,0,5,Search engine,2,50000-100000,500-2000,4790.89,2,21-40pct,Credit card,No not interested,0,5,Occasionally,Rarely,Yes occasionally,2,3,Occasionally,10-25pct,Festive sale,3,0
1052,urban_professional,35-44,Female,Metro (Tier 1),Postgraduate,Salaried (private),Weekly,Nykaa,Flipkart,Meesho,Smartphone,10-30 minutes,Rarely,Found better deal elsewhere,0,1,0,1,0,1,0,1,4,Platform recommendations,5,Above 200000,Above 15000,49815.71,1,Discounts dont trigger,Credit card,Yes - one programme,1,5,Rarely,Rarely,Yes occasionally,4,2,Frequently,Less than 10pct,Gifting occasion,5,1
1053,homemaker,35-44,Female,Rural / town,Undergraduate,Salaried (private),Rarely,Nykaa,Myntra,,Smartphone,Under 10 minutes,Almost always,Just browsing,0,1,1,0,1,0,0,0,5,Social media ads,3,100000-200000,5000-15000,20851.73,3,21-40pct,Buy now pay later,No but considering,0,4,Never,Sometimes,Yes occasionally,4,3,Frequently,10-25pct,Flash sale notification,2,0
1054,urban_professional,25-34,Male,Metro (Tier 1),Postgraduate,Salaried (private),Weekly,Nykaa,Myntra,Brand website,Laptop / desktop,Under 10 minutes,Never,High delivery charges,0,1,0,0,0,0,1,0,1,Platform recommendations,4,50000-100000,500-2000,5240.2,3,10-20pct,Debit card,Yes - one programme,1,3,Frequently,Rarely,No but open to it,4,3,Occasionally,10-25pct,Festive sale,5,1
1055,budget_student,18-24,Female,Metro (Tier 1),Undergraduate,Student,Monthly,Flipkart,Myntra,,Smartphone,30-60 minutes,Rarely,High price / no discount,1,1,0,1,0,0,0,0,5,Social media ads,5,50000-100000,5000-15000,1878.01,3,21-40pct,Net banking,Yes - one programme,1,5,Rarely,Rarely,Yes regularly,3,2,Rarely,More than 50pct,Influencer post,4,0
1056,homemaker,35-44,Male,Rural / town,Postgraduate,Self-employed,Occasionally,Myntra,Amazon,Nykaa,Laptop / desktop,30-60 minutes,Rarely,High price / no discount,1,0,0,1,1,1,0,1,4,Friends / family,5,20000-50000,500-2000,1165.73,4,Above 60pct,Debit card,No not interested,0,2,Rarely,Rarely,No but open to it,2,4,Never,10-25pct,Influencer post,3,1
1057,value_seeker,45-54,Female,Tier 3 city,Undergraduate,Salaried (private),Occasionally,Flipkart,Meesho,,Smartphone,10-30 minutes,Rarely,Found better deal elsewhere,1,1,1,0,0,1,0,0,5,Social media ads,5,100000-200000,Above 15000,5246.7,2,21-40pct,UPI,No but considering,0,2,Occasionally,Sometimes,Yes occasionally,3,4,Never,More than 50pct,Festive sale,3,0
1058,homemaker,35-44,Female,Tier 2 city,Undergraduate,Homemaker,Occasionally,Nykaa,Myntra,Meesho,Smartphone,10-30 minutes,Rarely,Found better deal elsewhere,0,0,1,1,1,0,0,0,3,Friends / family,3,20000-50000,Under 500,1473.43,4,10-20pct,UPI,No but considering,0,4,Rarely,Rarely,Yes occasionally,2,4,Never,26-50pct,Festive sale,3,1
1059,value_seeker,35-44,Female,Tier 2 city,Undergraduate,Salaried (private),Weekly,Other,Amazon,Flipkart,Laptop / desktop,30-60 minutes,Never,High price / no discount,0,1,1,0,1,0,0,1,4,Social media ads,5,50000-100000,5000-15000,16916.24,4,21-40pct,UPI,No but considering,0,3,Never,Sometimes,Yes occasionally,2,3,Rarely,10-25pct,Festive sale,1,1
1060,urban_professional,25-34,Female,Tier 2 city,Postgraduate,Salaried (private),Weekly,Meesho,Flipkart,,Smartphone,30-60 minutes,Rarely,Found better deal elsewhere,1,1,1,1,0,0,1,0,3,Influencer reviews,4,50000-100000,5000-15000,7126.19,2,21-40pct,UPI,Yes - multiple programmes,1,5,Occasionally,Often,Yes occasionally,4,2,Occasionally,26-50pct,Flash sale notification,4,1
1061,homemaker,55+,Female,Rural / town,Postgraduate,Homemaker,Monthly,Myntra,Nykaa,Flipkart,Smartphone,10-30 minutes,Sometimes,High delivery charges,1,0,1,0,1,0,0,0,1,Search engine,1,100000-200000,2000-5000,23097.13,3,41-60pct,Credit card,No but considering,0,2,Rarely,Rarely,No not interested,3,3,Rarely,26-50pct,Influencer post,3,1
1062,budget_student,18-24,Female,Metro (Tier 1),Postgraduate,Student,Monthly,Flipkart,Amazon,Nykaa,Laptop / desktop,30-60 minutes,Often,Just browsing,0,1,0,0,0,0,0,0,2,Social media ads,4,50000-100000,2000-5000,2223.88,3,10-20pct,Cash on delivery,No not interested,0,5,Occasionally,Almost always,Yes occasionally,3,4,Occasionally,26-50pct,Flash sale notification,3,0
1063,homemaker,25-34,Female,Tier 2 city,High school or below,Homemaker,Rarely,Meesho,Ajio,,Smartphone,30-60 minutes,Often,High delivery charges,1,1,0,1,1,0,0,1,4,Friends / family,2,Below 20000,Under 500,694.91,5,10-20pct,UPI,No but considering,0,4,Occasionally,Sometimes,Yes occasionally,3,3,Never,10-25pct,Recommendation email,4,0
1064,value_seeker,55+,Female,Tier 3 city,Undergraduate,Salaried (private),Occasionally,Meesho,Flipkart,Amazon,Smartphone,30-60 minutes,Often,Just browsing,0,0,1,0,0,1,1,0,4,Friends / family,4,20000-50000,500-2000,460.22,3,10-20pct,UPI,No not interested,0,5,Occasionally,Almost always,No but open to it,3,4,Occasionally,10-25pct,Flash sale notification,2,0
1065,premium_loyalist,45-54,Male,Tier 3 city,Postgraduate,Salaried (private),Daily or almost daily,Amazon,Ajio,Other,Laptop / desktop,Under 10 minutes,Often,Found better deal elsewhere,0,0,0,0,1,0,1,0,4,Platform recommendations,4,100000-200000,2000-5000,13628.44,2,Above 60pct,Debit card,Yes - one programme,1,4,Rarely,Rarely,No but open to it,4,1,Rarely,26-50pct,Influencer post,5,1
1066,premium_loyalist,45-54,Male,Tier 2 city,Doctoral,Salaried (govt.),Daily or almost daily,Amazon,Flipkart,Myntra,Smartphone,Under 10 minutes,Never,Just browsing,1,1,1,1,1,0,0,0,4,Search engine,4,50000-100000,5000-15000,2404.8,2,10-20pct,Net banking,Yes - multiple programmes,1,5,Rarely,Sometimes,Yes occasionally,5,2,Occasionally,Less than 10pct,Flash sale notification,2,1
1067,budget_student,25-34,Male,Metro (Tier 1),Undergraduate,Student,Monthly,Other,Flipkart,Meesho,Smartphone,10-30 minutes,Almost always,High price / no discount,0,1,0,0,0,0,1,0,4,Social media ads,4,Below 20000,Under 500,589.18,4,10-20pct,Credit card,No not interested,0,5,Rarely,Sometimes,Yes regularly,3,2,Never,10-25pct,Gifting occasion,1,1
1068,homemaker,25-34,Female,Metro (Tier 1),Undergraduate,Salaried (private),Monthly,Amazon,Meesho,Nykaa,Smartphone,30-60 minutes,Sometimes,High delivery charges,1,1,1,0,1,0,0,0,5,Email / app notifications,3,20000-50000,2000-5000,787.9,3,Discounts dont trigger,Debit card,No but considering,0,5,Occasionally,Almost always,Yes regularly,3,4,Occasionally,Less than 10pct,Gifting occasion,2,0
